created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-06-01,9.34,13.09,14.32,1251.4,-76,66.66,57.95,13.05
2019-06-02,1.43,2.18,2.64,2026.14,-75.75,67.33,51.37,2.18
2019-06-03,2.11,3.14,3.79,1024.19,-75.78,62.42,51.49,3.13
2019-06-04,5.87,7.8,8.54,2464.08,-75.96,59.94,69.54,7.79
2019-06-05,1.71,2.38,2.68,3904.08,-76.07,57.88,67.7,2.38
2019-06-06,2.6,3.47,3.81,5344.04,-77.59,60.1,52.7,3.44
2019-06-07,7.69,10.06,10.79,6784.06,-77.3,62.61,53.15,10.05
2019-06-08,2.53,3.4,3.73,8224.07,-77.96,62.33,52.87,3.37
2019-06-09,2.91,3.95,4.41,9664.35,-77.39,61.63,53.02,3.95
2019-06-10,5.67,7.5,8.07,11104.08,-76.72,64.04,53.27,7.49
2019-06-11,3.17,4.14,4.57,12544.12,-77.09,64.21,49.3,4.14
2019-06-12,3.16,4.31,4.9,13984.11,-76.38,59.9,63.73,4.31
2019-06-13,4.22,5.59,6.26,15424.08,-76.19,59.06,61.85,5.59
2019-06-14,7,9.57,10.43,16864.09,-76.64,59.9,58.33,9.56
2019-06-15,6.52,9.44,10.28,18304.05,-75.57,62.46,55.77,9.44
2019-06-16,2.93,3.99,4.4,19744.06,-75.41,63.74,53.41,3.99
2019-06-17,3.61,4.89,5.54,21184.08,-76.22,65.75,50.87,4.89
2019-06-18,6.27,8.45,9.27,22624.08,-78.04,67.38,49.83,8.44
2019-06-19,3.52,4.71,5.14,24064.09,-77.7,66.28,51.73,4.71
2019-06-20,2.1,2.86,3.25,25504.05,-77.5,63.14,52.98,2.86
2019-06-21,3.87,5.23,5.84,23578.99,-76.5,64.07,49.81,5.22
2019-06-22,6.52,8.69,9.46,896.01,-76.13,67.17,45.76,8.69
2019-06-23,14.4,19.6,21.01,2336,-75.57,66.3,59.35,18.6
2019-06-24,19.41,27.72,29.97,3776.01,-76.62,67.96,66.48,26.45
2019-06-25,11.51,16.39,17.74,5216.04,-77.37,70.11,58.98,17.02
2019-06-26,5.77,7.86,8.77,6656.05,-78.19,69.12,55.44,7.86
2019-06-27,7.72,11.12,12.36,3115.76,-78.07,71.9,49.54,11.11
2019-06-28,7.42,10.61,11.88,1624.02,-78.15,75.45,45.78,10.61
2019-06-29,9.49,14.53,16.07,3064.01,-78.97,72.7,53.86,14.47
2019-06-30,1.44,2.16,2.49,4504.03,-78.54,69.79,51.32,2.16
2019-07-01,1.84,2.83,3.38,5944.02,-78.25,67.43,50.89,2.74
2019-07-02,3.32,4.62,5.18,7384.02,-76.37,67.67,48.59,4.61
2019-07-03,4.56,6.15,6.79,8824.01,-78.48,69.72,44.68,5.89
2019-07-04,5.58,7.39,8,10264.04,-79.59,72.83,46.59,7.39
2019-07-05,4.87,6.67,7.21,11704.01,-77.72,70.82,52.83,6.66
