utc_timestamp,DE_KN_industrial1_grid_import,DE_KN_industrial1_pv_1,DE_KN_industrial1_pv_2,DE_KN_industrial2_pv,DE_KN_industrial3_area_offices,DE_KN_industrial3_area_room_1,DE_KN_industrial3_area_room_2,DE_KN_industrial3_area_room_3,DE_KN_industrial3_area_room_4,DE_KN_industrial3_compressor,DE_KN_industrial3_cooling_aggregate,DE_KN_industrial3_cooling_pumps,DE_KN_industrial3_dishwasher,DE_KN_industrial3_machine_1,DE_KN_industrial3_machine_2,DE_KN_industrial3_machine_3,DE_KN_industrial3_machine_4,DE_KN_industrial3_machine_5,DE_KN_industrial3_pv_facade,DE_KN_industrial3_pv_roof,DE_KN_industrial3_refrigerator,DE_KN_industrial3_ventilation,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine,DE_KN_residential2_circulation_pump,DE_KN_residential2_dishwasher,DE_KN_residential2_grid_import,DE_KN_residential2_washing_machine,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine,DE_KN_residential4_dishwasher,DE_KN_residential4_ev,DE_KN_residential4_freezer,DE_KN_residential4_grid_export,DE_KN_residential4_grid_import,DE_KN_residential4_heat_pump,DE_KN_residential4_pv,DE_KN_residential4_refrigerator,DE_KN_residential4_washing_machine,DE_KN_residential5_dishwasher,DE_KN_residential5_grid_import,DE_KN_residential5_refrigerator,DE_KN_residential5_washing_machine,DE_KN_residential6_circulation_pump,DE_KN_residential6_dishwasher,DE_KN_residential6_freezer,DE_KN_residential6_grid_import,DE_KN_residential6_pv,DE_KN_residential6_washing_machine
2016-01-01T00:00:00Z,17775,356.09,238.135,1501.47,2426.487,779.554,3956.812,734.748,5115.479,6345.067,711.682,22499.433,113.945,5234.136,17293.163,29044.733,111.007,755.807,599.47,880.123,51.355,22553.462,100.627,78.144,2912.808,2207.442,6404.501,93.963,233.911,148.863,1460.897,80.215,530.08,545.102,213.011,164.295,665.333,24.26,218.848,35.949,749.528,1154.986,788.487,1156.615,29.289,17.069,47.057,500.76,59.495,43.247,78.009,10.579,26.576,1038.357,671.511,8.777
2016-01-02T00:00:00Z,18186,358.97,240.065,1505.849,2440.807,783.497,3989.351,735.168,5115.479,6390.559,716.119,22746.995,113.947,5234.136,17345.163,29275.39,111.007,763.726,600.177,883.404,51.355,22766.477,100.628,78.916,2931.49,2233.879,6406.673,96.204,235.786,148.868,1467.763,81.021,531.76,545.577,213.011,164.946,669.355,25.011,218.849,36.353,750.186,1177.671,805.077,1159.324,29.691,17.071,49.204,514.395,60.416,43.753,79.051,10.581,27.157,1051.972,676.301,8.979
2016-01-03T00:00:00Z,18504.75,363.89,243.605,1511.14,2456.377,787.424,4021.771,735.575,5115.479,6435.223,720.557,22994.449,113.95,5234.136,17397.413,29506.265,111.007,771.637,601.13,887.431,51.355,22980.602,101.631,79.721,2949.16,2259.292,6409.481,96.225,237.611,150,1477.332,81.246,533.471,546.664,213.011,165.508,669.706,25.028,223.87,36.752,750.528,1203.811,821.439,1162.485,30.069,18.016,49.207,525.75,61.297,44.437,80.126,10.992,27.762,1067.209,681.091,9.237
2016-01-04T00:00:00Z,18941.875,368.04,246.595,1532.349,2471.927,791.374,4054.142,735.988,5115.479,6480.418,724.986,23241.808,113.952,5234.136,17449.788,29736.733,111.007,779.535,610.567,897.818,51.355,23195.602,101.632,80.5,2966.697,2286.539,6420.181,96.754,239.484,150.005,1487.238,81.247,535.096,546.718,213.011,166.065,671.367,25.054,232.567,37.155,753.756,1223.959,835.439,1174.975,30.488,18.031,51.181,540.755,62.254,46.684,81.316,10.994,28.331,1083.43,685.881,9.238
2016-01-05T00:00:00Z,19584.5,372.88,250.495,1549.98,2492.739,795.244,4087.242,736.408,5115.479,6525.325,729.463,23489.199,113.955,5234.136,17502.663,29900.702,111.007,787.445,617.247,907.943,51.355,23412.024,102.668,81.264,2983.247,2316.549,6425.263,96.756,241.2,151.221,1494.347,81.625,536.715,547.089,213.011,166.727,674.454,25.875,238.041,37.549,758.727,1247.841,852.459,1186.035,30.856,18.04,51.183,550.065,63.114,47.262,82.462,10.995,28.876,1097.72,690.671,9.547
2016-01-06T00:00:00Z,20259.881,379.17,255.755,1574.849,2514.107,808.524,4124.851,744.946,5115.479,6583.504,733.932,23680.886,113.957,5234.136,17551.976,29945.108,111.007,795.366,625.669,920.584,51.355,23628.165,102.668,82.043,2999.097,2344.318,6433.392,96.759,242.91,151.226,1500.513,81.626,538.328,548.124,213.011,167.258,679.106,25.887,242.052,37.951,769.647,1268.786,867.447,1201.135,31.25,18.046,52.823,561.565,63.971,47.262,83.626,10.996,29.425,1115.21,695.461,9.548
2016-01-07T00:00:00Z,20925.875,381.53,257.245,1583.72,2528.407,812.444,4157.441,753.848,5115.479,6628.426,738.393,23929.12,113.96,5234.136,17604.788,30154.89,111.007,803.307,627.72,927.123,51.355,23846.243,103.626,82.806,3016.405,2376.039,6437.442,97.39,244.582,151.231,1508.582,82.295,539.964,549.298,213.011,167.804,679.224,26.767,243.148,38.357,771.717,1288.729,883.369,1206.086,31.611,18.051,53.34,569.265,64.773,47.262,84.811,11.048,29.982,1130.01,700.251,9.549
2016-01-08T00:00:00Z,21251,383.49,258.505,1592.419,2561.607,825.816,4209.519,761.088,5115.479,6694.512,742.807,24197.136,116.165,5241.378,17775.523,30563.765,111.007,811.209,630.31,931.447,52.12,24212.165,103.627,83.573,3037.454,2402.639,6442.712,99.125,246.368,152.697,1514.397,82.674,541.703,550.455,213.011,168.339,679.225,26.768,243.149,38.77,774.096,1311.859,901.376,1211.356,31.975,18.985,54.613,583.985,65.615,47.916,86.098,11.049,30.522,1147.217,705.041,9.55
2016-01-09T00:00:00Z,21451.5,385.01,259.215,1598.449,2591.907,830.134,4273.742,763.328,5115.479,6795.731,747.236,24492.605,117.355,5354.98,18012.523,30963.765,111.007,819.105,631.528,936.029,52.988,24518.477,104.604,84.358,3057.61,2428.333,6445.571,101.271,248.127,152.702,1521.067,83.479,543.346,550.523,213.011,168.843,683.246,26.781,246.759,39.154,774.987,1338.145,917.957,1214.815,32.336,19.86,55.144,597.097,66.527,49.873,87.14,11.051,31.1,1160.832,709.831,10.115
2016-01-10T00:00:00Z,21720.5,386.2,259.555,1603.041,2607.347,834.034,4306.031,763.708,5115.479,6841.075,751.682,24799.745,117.358,5361.574,18244.757,31358.39,111.007,827.007,632.329,939.572,53.757,24735.931,104.605,85.141,3072.08,2450.859,6447.501,102.518,249.896,153.833,1534.152,83.704,545.137,551.674,213.011,169.373,683.597,27.593,246.76,39.553,775.417,1359.464,933.381,1217.455,32.727,19.863,56.108,609.425,67.554,51.087,88.215,11.233,31.652,1176.069,714.621,10.116
