STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/1,0,0,4.7,2.3
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/2,12.4,0,5.2,3.9
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/3,7,0,7.8,2.8
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/4,1.5,0,6.2,1.5
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/5,0.8,0,7.8,2.8
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/6,3.7,0,6.3,2.2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/7,7,0,6.7,1.6
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/8,18.7,0,6.3,3.2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/9,4.2,0,6.8,3.5
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/10,16.2,0,6.3,3
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/11,11.5,0,7.9,3.8
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/12,4.3,0,6.8,2.7
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/13,0.3,0,3.7,0.7
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/14,0.2,0,2.5,-1.3
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/15,1.2,0,2.7,-0.4
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/16,3.5,20,1.5,-1.7
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/17,2.2,40,0.6,-5.7
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/18,0,50,-1.2,-7.4
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/19,3.1,50,-0.8,-5.4
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/20,0,80,1.4,-3.2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/21,0,70,4,-5
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/22,0.8,50,2.7,-3
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/23,0,40,6.7,-1.3
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/24,0,0,3.4,-0.2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/25,0,0,10,-0.2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/26,0,0,9.7,0.4
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/27,0,0,10.8,1
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/28,1.8,0,11.2,4.6
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/29,0,0,11,6.1
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/30,24,0,11.2,3.3
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/1/31,9.4,0,11.6,2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/1,0,0,14,7.8
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/2,4,0,12.2,7.7
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/3,12.2,0,9.5,0.4
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/4,3.3,0,4.4,1.5
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/5,0,0,8.3,1.2
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/6,0,0,4.6,0.4
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/7,0,0,10,-0.1
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/8,2.2,0,12.2,1.6
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/9,4.4,0,10.9,2.6
GME00102404,"KONSTANZ, GM",47.6781,9.1908,443,2016/2/10,0,0,4.5,1.1
